review_id,review_text,true_is_political
1,"This is pure woke messaging. I came for a superhero movie, got a lecture.",1
2,Another Hollywood agenda piece. The politics are louder than the plot.,1
3,SJW propaganda dressed up as entertainment. Hard pass.,1
4,They turned a fun franchise into culture-war content. Not subtle.,1
5,The script is basically activism. If you disagree you’re the villain.,1
6,I’m tired of identity politics in every big release. Movie suffers for it.,1
7,This feels like a partisan talking point with CGI on top.,1
8,"The movie is fine, but the marketing and reviews are political theater.",1
9,"Woke checklist writing: preachy, smug, and thin characters.",1
10,"It’s not about the film anymore, it’s about the message. Obvious agenda.",1
11,"People will defend this for political reasons, not because it’s good.",1
12,Culture-war bait. The backlash and the praise are both political.,1
13,"If you dislike it, you’re labeled. That’s politics, not cinema.",1
14,This is the kind of ideological scriptwriting that turns audiences off.,1
15,It’s propaganda with a blockbuster budget.,1
16,Boring pacing and flat dialogue. The villain was forgettable.,0
17,Action scenes were fun but the story felt rushed.,0
18,"Decent popcorn movie, but nothing memorable.",0
19,"Great visuals, weak character development.",0
20,The jokes didn’t land and the plot twists were predictable.,0
